document1,document2,cosine,year1,year2,company1,company2
ALLY - 2019,AXP - 2015,0.84918708167674,2019,2015,ALLY,AXP
ALLY - 2020,AXP - 2015,0.83892834646017,2020,2015,ALLY,AXP
ALLY - 2021,AXP - 2015,0.86801473669458,2021,2015,ALLY,AXP
ADS - 2016,AXP - 2016,0.68665255471413,2016,2016,ADS,AXP
ADS - 2017,AXP - 2016,0.7921501768202,2017,2016,ADS,AXP
ADS - 2018,AXP - 2016,0.76866093350908,2018,2016,ADS,AXP
ADS - 2019,AXP - 2016,0.76470111237498,2019,2016,ADS,AXP
ADS - 2020,AXP - 2016,0.74996065024649,2020,2016,ADS,AXP
ADS - 2021,AXP - 2016,0.7418653658268,2021,2016,ADS,AXP
AES - 2015,AXP - 2016,0.7342540937004,2015,2016,AES,AXP
AES - 2016,AXP - 2016,0.72939914305622,2016,2016,AES,AXP
AES - 2017,AXP - 2016,0.72110565096762,2017,2016,AES,AXP
AES - 2018,AXP - 2016,0.68944686781269,2018,2016,AES,AXP
AES - 2019,AXP - 2016,0.68526423648769,2019,2016,AES,AXP
AES - 2020,AXP - 2016,0.65968308141412,2020,2016,AES,AXP
AES - 2021,AXP - 2016,0.67552703460214,2021,2016,AES,AXP
ALLY - 2015,AXP - 2016,0.74857185698344,2015,2016,ALLY,AXP
ALLY - 2016,AXP - 2016,0.7724075603811,2016,2016,ALLY,AXP
ALLY - 2017,AXP - 2016,0.74312674082305,2017,2016,ALLY,AXP
ALLY - 2018,AXP - 2016,0.72274760573056,2018,2016,ALLY,AXP
ALLY - 2019,AXP - 2016,0.71868273575907,2019,2016,ALLY,AXP
ALLY - 2020,AXP - 2016,0.71957719658542,2020,2016,ALLY,AXP
ALLY - 2021,AXP - 2016,0.73164634902442,2021,2016,ALLY,AXP
AXP - 2015,AXP - 2016,0.86139486631953,2015,2016,AXP,AXP
ADS - 2016,AXP - 2017,0.63645998556139,2016,2017,ADS,AXP
ADS - 2017,AXP - 2017,0.95331754311359,2017,2017,ADS,AXP
ADS - 2018,AXP - 2017,0.94986552659945,2018,2017,ADS,AXP
ADS - 2019,AXP - 2017,0.9366244596939,2019,2017,ADS,AXP
ADS - 2020,AXP - 2017,0.91044020549163,2020,2017,ADS,AXP
ADS - 2021,AXP - 2017,0.89889696772477,2021,2017,ADS,AXP
AES - 2015,AXP - 2017,0.83140272200569,2015,2017,AES,AXP
AES - 2016,AXP - 2017,0.82821105375625,2016,2017,AES,AXP
AES - 2017,AXP - 2017,0.86125991233554,2017,2017,AES,AXP
AES - 2018,AXP - 2017,0.85812452145108,2018,2017,AES,AXP
AES - 2019,AXP - 2017,0.83307055650863,2019,2017,AES,AXP
AES - 2020,AXP - 2017,0.81016916416844,2020,2017,AES,AXP
AES - 2021,AXP - 2017,0.82943887988559,2021,2017,AES,AXP
ALLY - 2015,AXP - 2017,0.68182600487598,2015,2017,ALLY,AXP
ALLY - 2016,AXP - 2017,0.76752067793692,2016,2017,ALLY,AXP
ALLY - 2017,AXP - 2017,0.91990609168652,2017,2017,ALLY,AXP
ALLY - 2018,AXP - 2017,0.89140187922762,2018,2017,ALLY,AXP
ALLY - 2019,AXP - 2017,0.87851081186614,2019,2017,ALLY,AXP
ALLY - 2020,AXP - 2017,0.86420993242004,2020,2017,ALLY,AXP
ALLY - 2021,AXP - 2017,0.88195543442102,2021,2017,ALLY,AXP
AXP - 2015,AXP - 2017,0.93688138389963,2015,2017,AXP,AXP
AXP - 2016,AXP - 2017,0.83636175006294,2016,2017,AXP,AXP
ADS - 2016,AXP - 2018,0.64304360407669,2016,2018,ADS,AXP
ADS - 2017,AXP - 2018,0.91468315919876,2017,2018,ADS,AXP
ADS - 2018,AXP - 2018,0.94156470284129,2018,2018,ADS,AXP
ADS - 2019,AXP - 2018,0.93519019385125,2019,2018,ADS,AXP
ADS - 2020,AXP - 2018,0.91562643860536,2020,2018,ADS,AXP
ADS - 2021,AXP - 2018,0.89993685791396,2021,2018,ADS,AXP
AES - 2015,AXP - 2018,0.78854269042006,2015,2018,AES,AXP
AES - 2016,AXP - 2018,0.78692306634113,2016,2018,AES,AXP
AES - 2017,AXP - 2018,0.84684766217652,2017,2018,AES,AXP
AES - 2018,AXP - 2018,0.87183532755857,2018,2018,AES,AXP
AES - 2019,AXP - 2018,0.85331929166869,2019,2018,AES,AXP
AES - 2020,AXP - 2018,0.83732823367299,2020,2018,AES,AXP
AES - 2021,AXP - 2018,0.84806565862507,2021,2018,AES,AXP
ALLY - 2015,AXP - 2018,0.65462345833874,2015,2018,ALLY,AXP
ALLY - 2016,AXP - 2018,0.73313467645313,2016,2018,ALLY,AXP
ALLY - 2017,AXP - 2018,0.89272537983253,2017,2018,ALLY,AXP
ALLY - 2018,AXP - 2018,0.90691544363229,2018,2018,ALLY,AXP
ALLY - 2019,AXP - 2018,0.88890954422576,2019,2018,ALLY,AXP
ALLY - 2020,AXP - 2018,0.87617960652657,2020,2018,ALLY,AXP
ALLY - 2021,AXP - 2018,0.87794308507152,2021,2018,ALLY,AXP
AXP - 2015,AXP - 2018,0.8810599259562,2015,2018,AXP,AXP
AXP - 2016,AXP - 2018,0.8143194578669,2016,2018,AXP,AXP
AXP - 2017,AXP - 2018,0.97164268139716,2017,2018,AXP,AXP
ADS - 2016,AXP - 2019,0.63677258862406,2016,2019,ADS,AXP
ADS - 2017,AXP - 2019,0.90615361684058,2017,2019,ADS,AXP
ADS - 2018,AXP - 2019,0.92284355459492,2018,2019,ADS,AXP
ADS - 2019,AXP - 2019,0.92465900385987,2019,2019,ADS,AXP
ADS - 2020,AXP - 2019,0.91000438322786,2020,2019,ADS,AXP
ADS - 2021,AXP - 2019,0.89655972460788,2021,2019,ADS,AXP
AES - 2015,AXP - 2019,0.77742135903931,2015,2019,AES,AXP
AES - 2016,AXP - 2019,0.77645572828966,2016,2019,AES,AXP
AES - 2017,AXP - 2019,0.82374106756839,2017,2019,AES,AXP
AES - 2018,AXP - 2019,0.8380447199724,2018,2019,AES,AXP
AES - 2019,AXP - 2019,0.82434935674707,2019,2019,AES,AXP
AES - 2020,AXP - 2019,0.80932496469925,2020,2019,AES,AXP
AES - 2021,AXP - 2019,0.82300927852007,2021,2019,AES,AXP
ALLY - 2015,AXP - 2019,0.65352650586783,2015,2019,ALLY,AXP
ALLY - 2016,AXP - 2019,0.72612591856979,2016,2019,ALLY,AXP
ALLY - 2017,AXP - 2019,0.86701915528409,2017,2019,ALLY,AXP
ALLY - 2018,AXP - 2019,0.87813366416315,2018,2019,ALLY,AXP
ALLY - 2019,AXP - 2019,0.86772802563822,2019,2019,ALLY,AXP
ALLY - 2020,AXP - 2019,0.85673301496283,2020,2019,ALLY,AXP
ALLY - 2021,AXP - 2019,0.8633880460715,2021,2019,ALLY,AXP
AXP - 2015,AXP - 2019,0.87697754593813,2015,2019,AXP,AXP
AXP - 2016,AXP - 2019,0.8391269667656,2016,2019,AXP,AXP
AXP - 2017,AXP - 2019,0.97026034557545,2017,2019,AXP,AXP
AXP - 2018,AXP - 2019,0.99093049995623,2018,2019,AXP,AXP
ADS - 2016,AXP - 2020,0.65152374511219,2016,2020,ADS,AXP
ADS - 2017,AXP - 2020,0.9229081812454,2017,2020,ADS,AXP
ADS - 2018,AXP - 2020,0.93933167337961,2018,2020,ADS,AXP
ADS - 2019,AXP - 2020,0.93923054366499,2019,2020,ADS,AXP
ADS - 2020,AXP - 2020,0.92856594480511,2020,2020,ADS,AXP
ADS - 2021,AXP - 2020,0.91784140551238,2021,2020,ADS,AXP
AES - 2015,AXP - 2020,0.80197664143017,2015,2020,AES,AXP
AES - 2016,AXP - 2020,0.80150132457388,2016,2020,AES,AXP
AES - 2017,AXP - 2020,0.8468803674267,2017,2020,AES,AXP
AES - 2018,AXP - 2020,0.8593324796678,2018,2020,AES,AXP
AES - 2019,AXP - 2020,0.84552028911264,2019,2020,AES,AXP
AES - 2020,AXP - 2020,0.83232086650664,2020,2020,AES,AXP
AES - 2021,AXP - 2020,0.84706773169269,2021,2020,AES,AXP
ALLY - 2015,AXP - 2020,0.67420835349671,2015,2020,ALLY,AXP
ALLY - 2016,AXP - 2020,0.74547654410559006,2016,2020,ALLY,AXP
ALLY - 2017,AXP - 2020,0.88810762134688,2017,2020,ALLY,AXP
ALLY - 2018,AXP - 2020,0.89803832508241,2018,2020,ALLY,AXP
ALLY - 2019,AXP - 2020,0.8874633212335,2019,2020,ALLY,AXP
ALLY - 2020,AXP - 2020,0.88162152400938,2020,2020,ALLY,AXP
ALLY - 2021,AXP - 2020,0.88856343692388,2021,2020,ALLY,AXP
AXP - 2015,AXP - 2020,0.89582965945412,2015,2020,AXP,AXP
AXP - 2016,AXP - 2020,0.8525724590906,2016,2020,AXP,AXP
AXP - 2017,AXP - 2020,0.97209472809253,2017,2020,AXP,AXP
AXP - 2018,AXP - 2020,0.98706447635612,2018,2020,AXP,AXP
AXP - 2019,AXP - 2020,0.99207930411646,2019,2020,AXP,AXP
ADS - 2016,AXP - 2021,0.63717221062139,2016,2021,ADS,AXP
ADS - 2017,AXP - 2021,0.92408066801048,2017,2021,ADS,AXP
ADS - 2018,AXP - 2021,0.93879529119868,2018,2021,ADS,AXP
ADS - 2019,AXP - 2021,0.93651023884952,2019,2021,ADS,AXP
ADS - 2020,AXP - 2021,0.92687526245548,2020,2021,ADS,AXP
ADS - 2021,AXP - 2021,0.92951949578332,2021,2021,ADS,AXP
AES - 2015,AXP - 2021,0.7987244926175,2015,2021,AES,AXP
AES - 2016,AXP - 2021,0.79489134938683,2016,2021,AES,AXP
AES - 2017,AXP - 2021,0.83593596573394,2017,2021,AES,AXP
AES - 2018,AXP - 2021,0.84608095331544,2018,2021,AES,AXP
AES - 2019,AXP - 2021,0.8298500829821,2019,2021,AES,AXP
AES - 2020,AXP - 2021,0.81789530039802,2020,2021,AES,AXP
AES - 2021,AXP - 2021,0.84495532806648,2021,2021,AES,AXP
ALLY - 2015,AXP - 2021,0.67088052426041,2015,2021,ALLY,AXP
ALLY - 2016,AXP - 2021,0.74318311039324,2016,2021,ALLY,AXP
ALLY - 2017,AXP - 2021,0.88766116940015,2017,2021,ALLY,AXP
ALLY - 2018,AXP - 2021,0.89117040347808,2018,2021,ALLY,AXP
ALLY - 2019,AXP - 2021,0.88210431876162,2019,2021,ALLY,AXP
ALLY - 2020,AXP - 2021,0.87459894746803,2020,2021,ALLY,AXP
ALLY - 2021,AXP - 2021,0.89823810013094,2021,2021,ALLY,AXP
AXP - 2015,AXP - 2021,0.90080969271971,2015,2021,AXP,AXP
AXP - 2016,AXP - 2021,0.84711083188309,2016,2021,AXP,AXP
AXP - 2017,AXP - 2021,0.97276182021079,2017,2021,AXP,AXP
AXP - 2018,AXP - 2021,0.98101717184583,2018,2021,AXP,AXP
AXP - 2019,AXP - 2021,0.98815897910118,2019,2021,AXP,AXP
AXP - 2020,AXP - 2021,0.99257856271009,2020,2021,AXP,AXP
ADS - 2016,BAC - 2015,0.63503370515046,2016,2015,ADS,BAC
ADS - 2017,BAC - 2015,0.94007189189607,2017,2015,ADS,BAC
ADS - 2018,BAC - 2015,0.92629504942286,2018,2015,ADS,BAC
ADS - 2019,BAC - 2015,0.90625462896541,2019,2015,ADS,BAC
ADS - 2020,BAC - 2015,0.88100715599947,2020,2015,ADS,BAC
ADS - 2021,BAC - 2015,0.88160526217255,2021,2015,ADS,BAC
AES - 2015,BAC - 2015,0.85844406129395,2015,2015,AES,BAC
AES - 2016,BAC - 2015,0.84838716476362,2016,2015,AES,BAC
AES - 2017,BAC - 2015,0.86399754723773,2017,2015,AES,BAC
AES - 2018,BAC - 2015,0.8535873497272,2018,2015,AES,BAC
AES - 2019,BAC - 2015,0.82439346198625,2019,2015,AES,BAC
AES - 2020,BAC - 2015,0.79858393924191,2020,2015,AES,BAC
AES - 2021,BAC - 2015,0.83584902139411,2021,2015,AES,BAC
ALLY - 2015,BAC - 2015,0.72905452959346,2015,2015,ALLY,BAC
ALLY - 2016,BAC - 2015,0.79884202562055,2016,2015,ALLY,BAC
